# time(ISO) elevation(m) distance(km) velocity(km/h)
2015-03-20T05:34:33 934.590000 0.000000 0.000000
2015-03-20T05:34:34 934.660000 0.003248 11.692259
2015-03-20T05:34:39 934.560000 0.019860 11.960713
2015-03-20T05:34:41 934.440000 0.022574 4.886146
2015-03-20T05:34:49 934.790000 0.060434 17.036639
2015-03-20T05:34:57 934.970000 0.091217 13.852492
2015-03-20T05:35:14 935.500000 0.125147 7.185253
2015-03-20T05:35:31 935.920000 0.151754 5.634353
2015-03-20T05:35:47 936.050000 0.175962 5.446826
2015-03-20T05:36:06 935.970000 0.205928 5.677821
2015-03-20T05:36:22 936.050000 0.227842 4.930497
2015-03-20T05:36:39 936.290000 0.255281 5.810743
2015-03-20T05:36:43 936.190000 0.261537 5.630095
2015-03-20T05:36:50 936.390000 0.272629 5.704317
2015-03-20T05:36:56 936.470000 0.282054 5.655423
2015-03-20T05:37:13 936.650000 0.308966 5.698995
2015-03-20T05:37:30 936.740000 0.335204 5.556259
2015-03-20T05:37:43 936.760000 0.355068 5.500632
2015-03-20T05:37:50 937.010000 0.365231 5.226875
2015-03-20T05:38:06 936.990000 0.392984 6.244509
2015-03-20T05:38:23 937.190000 0.419702 5.657757
2015-03-20T05:38:36 938.050000 0.427234 2.085782
2015-03-20T05:39:01 937.840000 0.429565 0.335692
2015-03-20T05:39:20 938.300000 0.430278 0.135132
2015-03-20T05:39:39 939.490000 0.441493 2.124964
2015-03-20T05:39:40 939.540000 0.442959 5.277439
2015-03-20T05:39:50 938.470000 0.456544 4.890725
2015-03-20T05:40:15 939.640000 0.494557 5.473780
2015-03-20T05:40:28 939.080000 0.515616 5.831736
2015-03-20T05:40:44 938.760000 0.534096 4.157985
2015-03-20T05:41:07 938.980000 0.562190 4.397430
2015-03-20T05:41:31 939.990000 0.596452 5.139317
2015-03-20T05:41:59 940.320000 0.630377 4.361719
2015-03-20T05:42:26 940.720000 0.662276 4.253185
2015-03-20T05:42:41 940.450000 0.678011 3.776370
2015-03-20T05:43:07 942.310000 0.711396 4.622576
2015-03-20T05:43:25 943.300000 0.736330 4.986709
2015-03-20T05:43:41 944.280000 0.758043 4.885517
2015-03-20T05:43:55 945.050000 0.774746 4.294953
2015-03-20T05:44:08 946.300000 0.789521 4.091784
2015-03-20T05:44:20 947.020000 0.804065 4.363068
2015-03-20T05:44:35 948.660000 0.820354 3.909307
2015-03-20T05:44:50 949.510000 0.840064 4.730339
2015-03-20T05:44:57 950.040000 0.849069 4.631336
2015-03-20T05:45:10 951.180000 0.862015 3.584952
2015-03-20T05:45:13 951.570000 0.866330 5.178814
2015-03-20T05:45:26 952.530000 0.883640 4.793404
2015-03-20T05:45:40 953.300000 0.901508 4.594574
2015-03-20T05:45:43 953.590000 0.905138 4.356188
2015-03-20T05:45:49 954.000000 0.911611 3.883988
2015-03-20T05:45:53 954.430000 0.916229 4.155875
2015-03-20T05:46:02 954.820000 0.926798 4.227875
2015-03-20T05:46:15 955.330000 0.944090 4.788373
2015-03-20T05:46:28 956.430000 0.960307 4.490880
2015-03-20T05:46:41 957.900000 0.972588 3.400899
2015-03-20T05:46:57 959.610000 0.986208 3.064538
2015-03-20T05:47:08 960.810000 0.994669 2.769094
2015-03-20T05:47:31 963.060000 1.018713 3.763448
2015-03-20T05:47:41 963.460000 1.030239 4.149123
2015-03-20T05:48:05 963.600000 1.061405 4.674975
2015-03-20T05:48:27 964.080000 1.066994 0.914527
2015-03-20T05:48:56 964.240000 1.071265 0.530233
2015-03-20T05:49:19 967.330000 1.094175 3.585913
2015-03-20T05:49:36 970.490000 1.110742 3.508332
2015-03-20T05:49:51 973.680000 1.123471 3.054773
2015-03-20T05:50:17 974.210000 1.126502 0.419676
2015-03-20T05:50:32 977.360000 1.137699 2.687296
2015-03-20T05:50:46 980.470000 1.152327 3.761511
2015-03-20T05:51:01 983.490000 1.168190 3.807121
2015-03-20T05:51:15 986.580000 1.182066 3.568299
2015-03-20T05:51:28 989.600000 1.192582 2.911933
2015-03-20T05:51:49 992.570000 1.212863 3.476852
2015-03-20T05:52:05 995.620000 1.229257 3.688665
2015-03-20T05:52:20 998.670000 1.236114 1.645673
2015-03-20T05:52:42 1001.550000 1.251540 2.524178
2015-03-20T05:52:56 1004.580000 1.260148 2.213365
2015-03-20T05:53:08 1007.750000 1.267732 2.275348
2015-03-20T05:53:20 1010.870000 1.278941 3.362755
2015-03-20T05:53:32 1014.010000 1.288661 2.915807
2015-03-20T05:53:45 1017.050000 1.296326 2.122695
2015-03-20T05:53:59 1020.130000 1.301341 1.289697
2015-03-20T05:54:11 1023.170000 1.314420 3.923559
2015-03-20T05:54:24 1026.390000 1.323398 2.486215
2015-03-20T05:54:37 1029.580000 1.332076 2.403053
2015-03-20T05:54:59 1032.260000 1.340915 1.446443
2015-03-20T05:55:12 1035.450000 1.350458 2.642803
2015-03-20T05:55:26 1038.490000 1.352230 0.455438
2015-03-20T05:55:28 1038.960000 1.352718 0.879116
2015-03-20T05:55:44 1042.230000 1.362960 2.304487
2015-03-20T05:55:59 1045.320000 1.370251 1.749716
2015-03-20T05:56:19 1048.350000 1.375893 1.015578
2015-03-20T05:56:41 1051.470000 1.380483 0.751122
2015-03-20T05:56:46 1051.830000 1.382120 1.178779
2015-03-20T05:57:07 1054.090000 1.396809 2.518151
2015-03-20T05:57:19 1055.370000 1.399310 0.750184
2015-03-20T05:57:38 1058.280000 1.420637 4.040872
2015-03-20T05:58:03 1061.080000 1.432403 1.694383
2015-03-20T05:58:20 1063.700000 1.438065 1.198886
2015-03-20T05:58:26 1064.390000 1.443682 3.370133
2015-03-20T05:58:45 1065.730000 1.445918 0.423709
2015-03-20T05:59:00 1068.300000 1.453518 1.823978
2015-03-20T05:59:16 1071.420000 1.465192 2.626659
2015-03-20T05:59:37 1072.930000 1.480781 2.672399
2015-03-20T06:00:10 1072.460000 1.482857 0.226467
2015-03-20T06:00:31 1073.020000 1.493063 1.749721
2015-03-20T06:00:52 1076.040000 1.500297 1.239979
2015-03-20T06:00:54 1076.080000 1.500676 0.682409
2015-03-20T06:01:15 1077.420000 1.501639 0.165167
2015-03-20T06:01:51 1077.310000 1.502792 0.115291
2015-03-20T06:02:25 1077.200000 1.509128 0.670812
2015-03-20T06:02:38 1077.320000 1.511823 0.746434
2015-03-20T06:02:48 1077.710000 1.517492 2.040906
2015-03-20T06:03:08 1077.490000 1.520605 0.560302
2015-03-20T06:03:26 1080.540000 1.524755 0.830078
2015-03-20T06:03:47 1083.860000 1.541974 2.951755
2015-03-20T06:04:07 1086.930000 1.552412 1.878854
2015-03-20T06:04:21 1090.140000 1.561583 2.358200
2015-03-20T06:04:36 1093.400000 1.570076 2.038366
2015-03-20T06:04:52 1096.410000 1.574430 0.979744
2015-03-20T06:05:09 1099.640000 1.584404 2.112012
2015-03-20T06:05:12 1100.710000 1.586406 2.402343
2015-03-20T06:05:33 1103.900000 1.600931 2.489978
2015-03-20T06:05:54 1106.960000 1.611639 1.835742
2015-03-20T06:06:14 1109.410000 1.619945 1.495127
2015-03-20T06:06:34 1111.090000 1.624095 0.746851
2015-03-20T06:06:47 1112.130000 1.631069 1.931399
2015-03-20T06:06:51 1112.970000 1.632979 1.718621
2015-03-20T06:06:53 1113.310000 1.634994 3.627084
2015-03-20T06:07:05 1115.410000 1.636449 0.436546
2015-03-20T06:07:22 1117.840000 1.636961 0.108372
2015-03-20T06:07:48 1117.790000 1.641878 0.680909
2015-03-20T06:08:12 1117.800000 1.643154 0.191305
2015-03-20T06:08:17 1117.940000 1.644671 1.092621
2015-03-20T06:08:42 1117.520000 1.649315 0.668722
2015-03-20T06:08:51 1117.940000 1.651081 0.706412
2015-03-20T06:09:17 1118.120000 1.658074 0.968250
2015-03-20T06:09:20 1118.600000 1.660157 2.499444
2015-03-20T06:09:36 1121.860000 1.672342 2.741682
2015-03-20T06:09:54 1124.490000 1.680146 1.560837
2015-03-20T06:10:15 1127.250000 1.688339 1.404524
2015-03-20T06:10:30 1130.410000 1.697854 2.283581
2015-03-20T06:10:50 1132.690000 1.704938 1.275058
2015-03-20T06:11:07 1135.260000 1.712586 1.619649
2015-03-20T06:11:30 1138.400000 1.718342 0.900832
2015-03-20T06:11:54 1141.750000 1.725871 1.129363
2015-03-20T06:12:14 1144.710000 1.739884 2.522429
2015-03-20T06:12:31 1147.820000 1.749382 2.011295
